レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率,締切予定時刻,今節成績_1-1,今節成績_1-2,今節成績_2-1,今節成績_2-2,今節成績_3-1,今節成績_3-2,今節成績_4-1,今節成績_4-2,今節成績_5-1,今節成績_5-2,今節成績_6-1,今節成績_6-2,2着が1号艇,2着が2号艇,2着が3号艇,2着が4号艇,2着が5号艇,2着が6号艇,当該コース1着合計
若松,02R,1,5020.0,宮村勇哉,三重,B1,4.4,2.63,0.41,12,0.10,3,0.17,5,0.14,2.5,0.13,3.4,0.3,9,0.03,1,0.13,4.0,3.8,B+,,0.167,0.25,C,4,3,0.37,0.07,18:08,1,2,5,,5,6,,,,,,,-,3,4,3,4,0,14.0
若松,02R,2,4442.0,松竹大輔,愛知,B1,5.79,5.43,0.11,7,0.25,15,0.18,11,0.16,3.4,0.17,3.5,0.11,7,0.05,3,0.0,,3.4,C,,0.258,0.258,C,3,4,0.12,0.13,18:08,3,2,6,,2,,,,,,,,4,-,4,0,1,1,10.0
若松,02R,3,3807.0,岡部哲,埼玉,B1,4.6,0.0,0.12,6,0.06,3,0.26,13,0.16,2.9,0.19,3.2,0.0,0,0.06,3,0.04,2.0,4.6,S,,0.364,0.182,A,5,4,0.16,0.04,18:08,2,5,1,,4,,,,,,,,1,1,-,1,1,1,5.0
若松,02R,4,4927.0,関野文,大阪,A2,5.55,5.09,0.08,4,0.19,10,0.23,12,0.16,3.2,0.16,2.4,0.04,2,0.04,2,0.0,0.0,3.0,B+,,0.379,0.241,C,4,3,0.19,0.12,18:08,5,,4,3,3,1,,,,,,,3,1,1,-,0,0,5.0
若松,02R,5,4503.0,上野真之介,佐賀,A1,7.7,7.91,0.16,8,0.30,15,0.18,9,0.13,2.5,0.14,3.4,0.0,0,0.04,2,0.11,6.0,4.2,C,,0.406,0.297,A,5,4,0.30,0.02,18:08,,,,,,,,,,,,,4,1,1,1,-,1,8.0
若松,02R,6,4425.0,大井清貴,山口,B1,4.7,4.31,0.00,0,0.00,0,0.18,6,0.18,3.8,0.19,3.5,0.0,0,0.0,0,0.0,0.0,3.8,B+,,0.353,0.471,C,4,3,0.18,0.24,18:08,6,,2,4,2,,,,,,,,0,0,0,0,0,-,0.0
若松,03R,1,4085.0,荻野裕介,東京,B1,5.13,3.94,0.32,6,0.16,3,0.16,3,0.19,3.5,0.24,5.2,0.16,3,0.21,4,0.21,4.0,4.2,A,,0.5,0.167,C,3,3,0.21,0.16,18:34,5,6,2,,4,6,,,,,,,-,3,1,1,1,0,6.0
若松,03R,2,4467.0,渡邉俊介,愛知,A2,6.63,7.2,0.15,9,0.34,21,0.26,16,0.13,2.4,0.13,2.5,0.11,6,0.06,3,0.0,,2.6,C,,0.346,0.346,C,3,3,0.33,0.02,18:34,3,,4,1,5,,,,,,,,5,-,1,3,1,0,10.0
若松,03R,3,5358.0,増本杏珠,福岡,B1,2.8,2.48,0.07,2,0.03,1,0.10,3,0.17,3.8,0.19,4.0,0.0,0,0.0,0,0.04,1.0,2.8,A,,0.0,1.0,D,2,3,0.11,0.21,18:34,6,5,5,,6,,,,,,,,0,0,-,2,0,0,2.0
若松,03R,4,4528.0,黒井達矢,埼玉,A1,6.37,5.86,0.11,6,0.23,12,0.23,12,0.16,3.2,0.17,3.6,0.05,3,0.07,4,0.07,4.0,2.4,-,隠FF,0.404,0.269,C,4,3,0.19,0.07,18:34,2,4,5,3,5,,,,,,,,3,1,4,-,3,0,11.0
若松,03R,5,3458.0,東健介,岡山,B1,4.36,3.14,0.00,0,0.08,3,0.14,5,0.16,3.4,0.16,3.5,0.0,0,0.0,0,0.0,0.0,4.0,A+,,0.125,0.25,C,3,3,0.13,0.08,18:34,,,,,,,,,,,,,0,0,0,0,-,0,0.0
若松,03R,6,4009.0,小林一樹,山口,A2,5.71,6.4,0.02,1,0.06,3,0.16,8,0.13,3.0,0.09,1.5,0.0,0,0.0,0,0.0,0.0,4.6,A+,,0.171,0.537,B,5,3,0.26,0.13,18:34,1,,2,4,5,,,,,,,,0,0,0,0,0,-,0.0
若松,04R,1,4423.0,坂口貴彦,岡山,B1,5.05,5.47,0.53,19,0.17,6,0.08,3,0.15,3.0,0.19,3.2,0.11,4,0.16,6,0.16,6.0,4.6,C,,0.412,0.294,B,4,4,0.32,0.03,19:03,2,1,3,,3,,,,,,,,-,6,8,3,1,1,19.0
若松,04R,2,4680.0,後藤美翼,東京,B1,5.77,0.0,0.08,4,0.23,11,0.33,16,0.21,4.4,0.18,4.2,0.07,3,0.02,1,0.0,,4.2,A,,0.231,0.462,B,4,4,0.02,0.24,19:03,3,,1,4,3,,,,,,,,2,-,1,0,1,0,4.0
若松,04R,3,4268.0,和合俊介,福岡,B1,2.89,4.15,0.00,0,0.11,5,0.18,8,0.16,2.9,0.2,4.5,0.0,0,0.02,1,0.0,0.0,3.6,A+,,0.667,0.0,D,3,2,0.21,0.07,19:03,5,,6,5,5,,,,,,,,0,0,-,0,1,0,1.0
若松,04R,4,3978.0,齊藤仁,東京,A1,5.98,7.41,0.13,8,0.17,10,0.18,11,0.14,3.2,0.15,2.4,0.03,2,0.05,3,0.05,3.0,3.6,C,,0.364,0.273,C,4,3,0.11,0.03,19:03,3,2,1,,1,1,,,,,,,3,1,1,-,2,2,9.0
若松,04R,5,4521.0,小池公生,福岡,A1,4.7,4.46,0.07,4,0.19,10,0.20,11,0.20,4.6,0.19,4.2,0.0,0,0.0,0,0.04,2.0,4.4,A,,0.565,0.13,A,5,4,0.05,0.28,19:03,,,,,,,,,,,,,0,2,0,1,-,0,3.0
若松,04R,6,4553.0,坪口竜也,長崎,A2,6.12,5.38,0.03,1,0.11,4,0.24,9,0.16,3.9,0.17,3.6,0.0,0,0.0,0,0.03,1.0,2.8,-,,0.357,0.286,C,4,3,0.03,0.21,19:03,3,2,4,,4,4,,,,,,,2,0,0,0,0,-,2.0
若松,05R,1,5158.0,宮脇遼太,福岡,A2,6.77,6.41,0.72,47,0.05,3,0.11,7,0.13,2.5,0.18,4.4,0.11,7,0.06,4,0.09,6.0,4.4,B+,,0.273,0.25,B,4,4,0.50,0.09,19:30,2,3,2,,2,1,,,,,,,-,13,11,13,4,5,46.0
若松,05R,2,4488.0,小山勉,埼玉,A1,6.7,6.14,0.19,10,0.37,19,0.19,10,0.17,3.3,0.12,1.2,0.17,9,0.02,1,0.0,,5.0,B+,,0.39,0.293,A,5,4,0.15,0.12,19:30,1,3,1,,3,,,,,,,,9,-,1,1,0,0,11.0
若松,05R,3,4491.0,田中堅,群馬,B1,4.38,5.04,0.05,2,0.14,6,0.27,12,0.19,3.9,0.19,4.6,0.02,1,0.0,0,0.0,0.0,2.2,-,,0.375,0.375,D,3,2,0.09,0.20,19:30,6,,3,4,3,5,,,,,,,2,0,-,0,0,0,2.0
若松,05R,4,5163.0,清水愛海,山口,A1,6.16,5.94,0.10,4,0.27,11,0.15,6,0.20,4.2,0.18,3.4,0.04,2,0.04,2,0.02,1.0,2.0,-,,0.514,0.189,C,3,3,0.00,0.19,19:30,6,,4,1,6,1,,,,,,,2,3,0,-,0,0,5.0
若松,05R,5,3797.0,岩井繁,広島,B1,3.79,4.11,0.00,0,0.13,6,0.13,6,0.22,4.7,0.19,4.4,0.0,0,0.0,0,0.0,0.0,2.8,-,,0.5,0.333,C,3,3,0.02,0.27,19:30,,,,,,,,,,,,,0,0,0,0,-,0,0.0
若松,05R,6,5416.0,龍田真白,三重,B2,2.84,0.0,0.01,1,0.05,4,0.01,1,0.17,3.5,0.19,4.0,0.01,1,0.0,0,0.01,1.0,2.6,B+,隠F,0.0,0.0,C,3,3,0.26,0.21,19:30,6,,6,6,6,,,,,,,,1,0,0,1,0,-,2.0
若松,06R,1,4540.0,相原利章,東京,A2,5.61,5.68,0.52,24,0.20,9,0.09,4,0.11,2.4,0.14,2.7,0.1,5,0.19,9,0.15,7.0,2.8,-,未消化F,0.333,0.375,C,3,3,0.46,0.06,19:56,5,,5,2,4,,,,,,,,-,8,11,6,1,0,26.0
若松,06R,2,4023.0,柴田友和,福岡,B1,4.16,4.85,0.04,2,0.14,7,0.24,12,0.19,3.8,0.16,2.6,0.02,1,0.0,0,0.0,,4.2,A+,,0.417,0.25,C,3,3,0.04,0.20,19:56,1,6,5,,4,4,,,,,,,0,-,0,0,0,1,1.0
若松,06R,3,5129.0,山口真喜子,長崎,A2,5.82,4.52,0.21,10,0.23,11,0.23,11,0.17,3.1,0.1,1.0,0.02,1,0.04,2,0.09,4.0,5.2,S,,0.32,0.24,S,5,5,0.20,0.16,19:56,1,,2,5,1,1,,,,,,,2,1,-,3,2,0,8.0
若松,06R,4,4232.0,笠雅雄,福岡,B1,5.62,4.29,0.16,6,0.13,5,0.13,5,0.17,3.4,0.14,2.5,0.0,0,0.11,4,0.03,1.0,2.8,C,,0.143,0.429,C,3,4,0.14,0.16,19:56,4,4,5,,3,,,,,,,,0,4,0,-,3,0,7.0
若松,06R,5,5142.0,常住蓮,佐賀,A1,7.42,5.45,0.14,7,0.41,20,0.16,8,0.13,2.5,0.17,3.0,0.0,0,0.02,1,0.08,4.0,3.6,B+,,0.379,0.242,B,4,4,0.32,0.00,19:56,,,,,,,,,,,,,3,0,1,1,-,0,5.0
若松,06R,6,3605.0,中村守成,三重,B1,4.18,3.14,0.00,0,0.03,1,0.05,2,0.20,4.5,0.18,3.4,0.0,0,0.0,0,0.0,0.0,4.0,B+,,0.529,0.235,C,4,3,0.05,0.46,19:56,3,,3,4,1,4,,,,,,,0,0,0,0,0,-,0.0
若松,07R,1,4804.0,高田ひかる,三重,A1,6.58,5.6,0.69,45,0.05,3,0.09,6,0.18,3.6,0.19,4.8,0.05,3,0.13,8,0.07,4.0,4.2,C,,0.227,0.364,B,3,5,0.21,0.28,20:25,3,6,2,2,2,,,,,,,,-,11,14,11,7,1,44.0
若松,07R,2,3976.0,内田圭,山口,B1,3.79,3.39,0.07,3,0.20,8,0.07,3,0.16,3.4,0.19,3.6,0.05,2,0.02,1,0.0,,2.4,-,,0.5,0.25,C,3,3,0.12,0.15,20:25,6,,6,4,2,6,,,,,,,0,-,1,1,0,1,3.0
若松,07R,3,5151.0,山下奈緒,大阪,B1,4.5,4.0,0.00,0,0.06,3,0.22,11,0.22,4.1,0.21,5.7,0.0,0,0.0,0,0.0,0.0,2.8,-,,0.25,0.25,C,3,3,0.02,0.18,20:25,4,,6,S,6,,,,,,,,0,0,-,0,0,0,0.0
若松,07R,4,4425.0,大井清貴,山口,B1,4.7,4.31,0.02,1,0.18,8,0.32,14,0.17,3.5,0.19,3.5,0.02,1,0.0,0,0.0,0.0,3.8,B+,,0.353,0.471,C,4,3,0.15,0.12,20:25,6,,2,4,2,,,,,,,,0,1,0,-,0,0,1.0
若松,07R,5,4651.0,佐藤大騎,大阪,B1,3.81,3.13,0.05,2,0.16,6,0.24,9,0.18,3.5,0.2,4.5,0.0,0,0.02,1,0.02,1.0,3.0,C,隠F,0.4,0.3,C,4,2,0.18,0.22,20:25,,,,,,,,,,,,,1,1,0,0,-,0,2.0
若松,07R,6,4535.0,北山康介,東京,A1,6.06,5.65,0.06,3,0.25,12,0.19,9,0.14,2.6,0.18,3.0,0.0,0,0.02,1,0.02,1.0,2.8,-,,0.324,0.27,B,4,4,0.40,0.09,20:25,5,1,3,,3,3,,,,,,,1,0,2,0,0,-,3.0
若松,08R,1,4528.0,黒井達矢,埼玉,A1,6.37,5.86,0.82,55,0.07,5,0.07,5,0.16,3.0,0.17,3.6,0.06,4,0.06,4,0.06,4.0,2.4,-,隠FF,0.404,0.269,C,4,3,0.27,0.07,21:00,2,4,5,3,5,,,,,,,,-,23,17,10,5,2,57.0
若松,08R,2,4233.0,亀山雅幸,群馬,A2,5.99,6.94,0.16,9,0.40,23,0.22,13,0.15,3.0,,,0.11,6,0.04,2,0.0,,4.8,A,,0.273,0.182,B,3,5,0.20,0.04,21:00,2,,2,6,4,2,,,,,,,2,-,5,0,0,1,8.0
若松,08R,3,4514.0,上條嘉嗣,大阪,A1,6.54,8.33,0.35,21,0.23,14,0.15,9,0.18,3.4,,,0.0,0,0.18,12,0.09,6.0,4.2,C,,0.306,0.371,A,5,4,0.06,0.05,21:00,1,5,1,,2,2,,,,,,,7,8,-,3,2,0,20.0
若松,08R,4,4416.0,三宅健太,広島,B1,5.25,5.93,0.11,6,0.16,9,0.27,15,0.16,3.5,,,0.02,1,0.07,4,0.04,2.0,3.0,C,隠F,0.462,0.077,C,4,2,0.11,0.12,21:00,4,,1,6,1,2,,,,,,,2,4,1,-,0,0,7.0
若松,08R,5,3807.0,岡部哲,埼玉,B1,4.6,0.0,0.04,2,0.11,5,0.11,5,0.17,3.4,0.19,3.2,0.0,0,0.02,1,0.02,1.0,4.6,S,,0.364,0.182,A,5,4,0.08,0.10,21:00,,,,,,,,,,,,,0,0,1,0,-,1,2.0
若松,08R,6,3893.0,汐崎正則,愛知,B1,4.43,4.25,0.00,0,0.03,1,0.11,4,0.16,3.5,,,0.0,0,0.0,0,0.0,0.0,5.0,S,,0.2,0.4,A,5,5,0.14,0.11,21:00,1,3,1,,1,5,,,,,,,0,0,0,0,0,-,0.0
若松,09R,1,3978.0,齊藤仁,東京,A1,5.98,7.41,0.67,45,0.15,10,0.04,3,0.13,2.4,0.15,2.4,0.13,9,0.06,4,0.1,7.0,3.6,C,,0.364,0.273,C,4,3,0.42,0.08,21:28,3,2,1,,1,1,,,,,,,-,17,13,10,6,0,46.0
若松,09R,2,4027.0,松江秀徳,佐賀,B1,5.59,5.19,0.20,11,0.24,13,0.19,10,0.18,3.8,0.15,2.4,0.12,7,0.05,3,0.0,,4.0,C,,0.324,0.351,B,4,4,0.12,0.21,21:28,1,,2,2,5,5,,,,,,,4,-,2,3,1,1,11.0
若松,09R,3,3458.0,東健介,岡山,B1,4.36,3.14,0.05,2,0.21,9,0.16,7,0.14,2.8,0.16,3.5,0.0,0,0.0,0,0.07,3.0,4.0,A+,,0.125,0.25,C,3,3,0.20,0.04,21:28,6,,4,5,6,,,,,,,,2,0,-,1,0,0,3.0
若松,09R,4,4568.0,廣瀬真也,東京,A2,5.36,5.65,0.17,8,0.13,6,0.21,10,0.15,2.6,0.18,3.2,0.02,1,0.12,6,0.02,1.0,2.8,-,,0.343,0.314,D,3,2,0.37,0.06,21:28,4,,5,3,6,3,,,,,,,3,1,1,-,3,1,9.0
若松,09R,5,4164.0,岩永節也,長崎,B1,4.24,3.19,0.00,0,0.11,4,0.14,5,0.20,4.6,0.11,2.2,0.0,0,0.0,0,0.0,0.0,3.0,C,,0.0,0.167,C,3,3,0.00,0.26,21:28,,,,,,,,,,,,,0,0,0,0,-,0,0.0
若松,09R,6,4142.0,平野和明,愛知,A2,5.58,5.98,0.00,0,0.09,4,0.11,5,0.18,4.7,0.17,2.8,0.0,0,0.0,0,0.0,0.0,3.2,-,,0.226,0.29,C,3,4,0.00,0.43,21:28,3,3,2,,1,4,,,,,,,0,0,0,0,0,-,0.0
若松,10R,1,4521.0,小池公生,福岡,A1,4.7,4.46,0.52,24,0.22,10,0.04,2,0.15,3.1,0.19,4.2,0.14,7,0.14,7,0.18,9.0,4.4,A,,0.565,0.13,A,5,4,0.27,0.14,21:57,1,,1,1,6,,,,,,,,-,15,3,4,2,2,26.0
若松,10R,2,3406.0,中里英夫,群馬,A2,5.18,4.69,0.11,5,0.34,16,0.15,7,0.16,3.9,0.18,4.4,0.1,5,0.0,0,0.0,,4.2,A+,,0.238,0.476,C,4,3,0.04,0.10,21:57,4,2,3,,4,3,,,,,,,4,-,1,1,0,0,6.0
若松,10R,3,4158.0,木場雄二郎,山口,B1,4.81,3.25,0.05,2,0.27,12,0.20,9,0.17,3.6,0.13,2.7,0.0,0,0.02,1,0.0,0.0,3.6,-,,0.28,0.28,B,4,4,0.07,0.15,21:57,2,4,1,,3,,,,,,,,1,0,-,0,0,0,1.0
若松,10R,4,4009.0,小林一樹,山口,A2,5.71,6.4,0.18,9,0.16,8,0.14,7,0.13,2.2,0.09,1.5,0.02,1,0.11,6,0.04,2.0,4.6,A+,,0.171,0.537,B,5,3,0.42,0.04,21:57,1,,2,4,5,,,,,,,,2,2,1,-,3,1,9.0
若松,10R,5,5158.0,宮脇遼太,福岡,A2,6.77,6.41,0.06,3,0.10,5,0.19,9,0.16,3.3,0.18,4.4,0.02,1,0.0,0,0.02,1.0,4.4,B+,,0.273,0.25,B,4,4,0.26,0.10,21:57,,,,,,,,,,,,,0,0,0,0,-,2,2.0
若松,10R,6,4442.0,松竹大輔,愛知,B1,5.79,5.43,0.06,3,0.10,5,0.21,10,0.16,3.8,0.17,3.5,0.0,0,0.07,3,0.02,1.0,3.4,C,,0.258,0.258,C,3,4,0.11,0.22,21:57,3,2,6,,2,,,,,,,,2,0,2,0,0,-,4.0
若松,11R,1,4503.0,上野真之介,佐賀,A1,7.7,7.91,0.84,67,0.13,10,0.01,1,0.11,2.0,0.14,3.4,0.04,3,0.04,3,0.06,5.0,4.2,C,,0.406,0.297,A,5,4,0.58,0.05,22:27,2,1,3,,2,3,,,,,,,-,28,20,13,6,2,69.0
若松,11R,2,4423.0,坂口貴彦,岡山,B1,5.05,5.47,0.09,5,0.30,16,0.23,12,0.18,3.8,0.19,3.2,0.08,4,0.0,0,0.0,,4.6,C,,0.412,0.294,B,4,4,0.04,0.14,22:27,2,1,3,,3,,,,,,,,4,-,0,0,1,0,5.0
若松,11R,3,4488.0,小山勉,埼玉,A1,6.7,6.14,0.23,9,0.23,9,0.25,10,0.17,3.0,0.12,1.2,0.0,0,0.09,4,0.09,4.0,5.0,B+,,0.39,0.293,A,5,4,0.19,0.11,22:27,1,3,1,,3,,,,,,,,6,1,-,1,1,1,10.0
若松,11R,4,5031.0,渡辺空依,福岡,B1,4.58,4.25,0.03,1,0.09,3,0.18,6,0.20,3.6,0.16,3.5,0.0,0,0.0,0,0.03,1.0,3.0,-,,0.222,0.222,D,3,2,0.08,0.16,22:27,4,4,6,,5,,,,,,,,1,0,0,-,0,0,1.0
若松,11R,5,4540.0,相原利章,東京,A2,5.61,5.68,0.03,1,0.08,3,0.19,7,0.13,2.4,0.14,2.7,0.0,0,0.02,1,0.02,1.0,2.8,-,未消化F,0.333,0.375,C,3,3,0.47,0.07,22:27,,,,,,,,,,,,,1,0,1,0,-,0,2.0
若松,11R,6,4467.0,渡邉俊介,愛知,A2,6.63,7.2,0.04,2,0.15,7,0.19,9,0.18,4.3,0.13,2.5,0.0,0,0.0,0,0.0,0.0,2.6,C,,0.346,0.346,C,3,3,0.00,0.29,22:27,3,,4,1,5,,,,,,,,0,0,0,0,0,-,0.0
若松,12R,1,5163.0,清水愛海,山口,A1,6.16,5.94,0.70,37,0.15,8,0.02,1,0.15,3.0,0.18,3.4,0.09,5,0.15,8,0.0,0.0,2.0,-,,0.514,0.189,C,3,3,0.30,0.13,22:54,6,,4,1,6,1,,,,,,,-,20,8,3,7,1,39.0
若松,12R,2,5129.0,山口真喜子,長崎,A2,5.82,4.52,0.20,9,0.30,13,0.23,10,0.19,3.5,0.1,1.0,0.19,8,0.02,1,0.0,,5.2,S,,0.32,0.24,S,5,5,0.14,0.19,22:54,1,,2,5,1,1,,,,,,,5,-,1,2,1,1,10.0
若松,12R,3,4680.0,後藤美翼,東京,B1,5.77,0.0,0.02,1,0.24,11,0.20,9,0.18,3.5,0.18,4.2,0.0,0,0.02,1,0.0,0.0,4.2,A,,0.231,0.462,B,4,4,0.09,0.06,22:54,3,,1,4,3,,,,,,,,0,0,-,1,0,0,1.0
若松,12R,4,4804.0,高田ひかる,三重,A1,6.58,5.6,0.17,9,0.19,10,0.19,10,0.19,3.8,0.19,4.8,0.0,0,0.13,7,0.02,1.0,4.2,C,,0.227,0.364,B,3,5,0.17,0.19,22:54,3,6,2,2,2,,,,,,,,2,4,2,-,0,2,10.0
若松,12R,5,5358.0,増本杏珠,福岡,B1,2.8,2.48,0.00,0,0.03,1,0.23,8,0.19,3.8,0.19,4.0,0.0,0,0.0,0,0.0,0.0,2.8,A,,0.0,1.0,D,2,3,0.17,0.23,22:54,,,,,,,,,,,,,0,0,0,0,-,0,0.0
若松,12R,6,4927.0,関野文,大阪,A2,5.55,5.09,0.02,1,0.14,7,0.22,11,0.18,3.8,0.16,2.4,0.02,1,0.0,0,0.0,0.0,3.0,B+,,0.379,0.241,C,4,3,0.15,0.20,22:54,5,,4,3,3,1,,,,,,,1,0,0,0,0,-,1.0
下関,01R,1,5266.0,石田勇斗,愛知,B1,4.76,0.0,0.40,12,0.13,4,0.10,3,0.16,2.7,0.08,2.6,0.06,2,0.26,8,0.23,7.0,2.6,A,,0.273,0.273,C,3,3,0.39,0.19,15:23,2,,2,6,3,3,2,,3.0,6.0,,,-,3,4,3,1,1,12.0
下関,01R,2,5176.0,石倉拓美,山口,B2,2.7,2.44,0.00,0,0.13,3,0.17,4,0.21,4.6,0.19,4.7,0.0,0,0.0,0,0.0,,2.6,B+,,1.0,0.0,C,3,3,0.04,0.50,15:23,6,,1,6,6,S,6,,6.0,,,,0,-,0,0,0,0,0.0
下関,01R,3,5114.0,小林孝彰,福井,A2,5.37,6.27,0.15,9,0.17,10,0.30,18,0.16,3.0,0.14,2.8,0.0,0,0.07,4,0.07,4.0,3.6,B+,,0.257,0.314,A,5,4,0.15,0.05,15:23,3,2,1,2,1,,6,2,1.0,5.0,,,6,1,-,0,0,1,8.0
下関,01R,4,5282.0,中本大樹,福井,B1,5.1,2.44,0.07,3,0.05,2,0.19,8,0.17,3.8,0.19,4.2,0.02,1,0.07,3,0.0,0.0,2.4,C,,0.214,0.286,C,4,3,0.11,0.24,15:23,6,,4,6,1,,3,5,5.0,3.0,,,2,2,0,-,0,0,4.0
下関,01R,5,5130.0,上野拓馬,三重,B1,4.61,3.1,0.00,0,0.04,2,0.12,6,0.17,3.7,0.16,3.4,0.0,0,0.0,0,0.0,0.0,2.6,-,,0.389,0.333,C,3,3,0.04,0.10,15:23,,,,,,,,,,,,,0,0,0,0,-,0,0.0
下関,01R,6,5404.0,内田壮,山口,B2,2.15,1.56,0.00,0,0.02,2,0.04,4,0.22,4.9,0.15,4.0,0.0,0,0.0,0,0.0,0.0,3.0,C,隠F,0.0,0.0,C,3,3,0.04,0.47,15:23,6,,6,5,4,,6,6,5.0,,,,,,,,,-,
下関,02R,1,5336.0,瀬川大地,山口,B1,3.1,2.03,0.07,1,0.07,1,0.21,3,0.18,3.9,0.15,2.7,0.15,2,0.54,7,0.0,0.0,3.0,A+,,0.0,0.0,C,3,3,0.15,0.23,15:53,1,6,6,,3,4,3,,5.0,6.0,,,-,0,0,1,0,0,1.0
下関,02R,2,5332.0,村松遥輝,静岡,B1,4.39,4.44,0.05,2,0.10,4,0.15,6,0.18,3.4,0.19,4.2,0.0,0,0.05,2,0.0,,3.0,-,未消化F,0.727,0.091,D,2,3,0.26,0.16,15:53,6,,4,6,5,,5,5,4.0,,,,0,-,2,0,0,0,2.0
下関,02R,3,5382.0,山下心一,福岡,B1,2.55,2.45,0.00,0,0.00,0,0.00,0,0.17,6.0,0.16,4.1,0.0,0,0.0,0,0.0,0.0,3.0,C,,0.0,0.0,C,4,3,0.00,1.00,15:53,4,,3,6,6,,4,6,2.0,,,,0,0,-,0,0,0,0.0
下関,02R,4,5214.0,田中宏典,佐賀,B1,4.84,4.71,0.15,6,0.20,8,0.20,8,0.16,3.3,0.15,3.0,0.03,1,0.05,2,0.08,3.0,3.0,C,,0.25,0.188,C,3,3,0.18,0.10,15:53,4,,6,5,2,,2,4,3.0,2.0,,,1,3,2,-,0,0,6.0
下関,02R,5,5313.0,鈴木唯央,群馬,B1,4.64,0.0,0.06,4,0.03,2,0.16,10,0.17,3.1,0.16,3.4,0.0,0,0.0,0,0.06,4.0,2.4,-,隠F,0.0,0.5,D,2,3,0.22,0.07,15:53,,,,,,,,,,,,,0,0,1,1,-,2,4.0
下関,02R,6,5012.0,加倉侑征,福岡,A2,5.4,5.13,0.04,2,0.09,5,0.26,14,0.15,3.3,0.15,4.5,0.0,0,0.0,0,0.0,0.0,3.0,-,隠F,0.259,0.259,D,3,2,0.27,0.17,15:53,4,,3,3,3,5,4,,3.0,1.0,,,1,0,0,0,1,-,2.0
下関,03R,1,5190.0,大月遊雅,東京,B1,4.36,0.0,0.27,8,0.27,8,0.03,1,0.18,3.1,0.19,3.7,0.27,8,0.37,11,0.07,2.0,3.0,A+,,0.125,0.5,C,3,4,0.30,0.10,16:28,3,4,2,,5,2,3,3,2.0,6.0,,,-,1,4,2,1,0,8.0
下関,03R,2,5328.0,井上慧人,福岡,B1,3.97,2.88,0.13,2,0.20,3,0.13,2,0.20,4.8,0.13,2.4,0.06,1,0.06,1,0.0,,3.4,C,,0.0,1.0,D,3,2,0.00,0.25,16:28,6,,5,4,5,,1,2,6.0,,,,1,-,0,1,0,0,2.0
下関,03R,3,5263.0,花田凱成,福岡,B1,4.57,2.4,0.00,0,0.23,8,0.26,9,0.17,3.6,0.13,3.2,0.0,0,0.0,0,0.0,0.0,2.8,B+,,0.375,0.5,C,3,3,0.11,0.08,16:28,5,,3,4,3,,4,3,6.0,5.0,,,0,0,-,0,0,0,0.0
下関,03R,4,5377.0,鳥居塚嶺王,群馬,B1,3.55,0.0,0.10,3,0.10,3,0.17,5,0.17,3.5,0.16,2.6,0.0,0,0.13,4,0.0,0.0,3.2,A,,0.0,0.0,C,3,3,0.16,0.10,16:28,5,,4,3,5,,1,2,6.0,3.0,,,1,2,0,-,1,0,4.0
下関,03R,5,5275.0,松田淳平,三重,A2,6.61,3.13,0.06,3,0.17,8,0.23,11,0.13,2.6,0.13,2.3,0.02,1,0.02,1,0.11,6.0,3.6,B+,,0.217,0.304,A,5,4,0.37,0.04,16:28,,,,,,,,,,,,,3,2,3,1,-,0,9.0
下関,03R,6,5244.0,黒田剛,福岡,B1,4.28,2.86,0.00,0,0.07,2,0.03,1,0.16,3.7,0.19,5.2,0.0,0,0.0,0,0.0,0.0,3.0,C,未消化F,0.222,0.444,C,3,3,0.13,0.23,16:28,4,F,5,,6,,6,,6.0,,,,0,0,0,0,0,-,0.0
下関,04R,1,5133.0,堀越雄貴,東京,B1,5.58,0.0,0.38,15,0.23,9,0.08,3,0.18,4.0,0.16,4.1,0.1,4,0.26,10,0.15,6.0,4.2,B+,,0.143,0.429,A,5,4,0.13,0.23,17:01,4,,3,2,1,4,3,,3.0,4.0,,,-,3,6,4,2,1,16.0
下関,04R,2,5270.0,小玉啓太,佐賀,B1,4.54,3.29,0.11,5,0.20,9,0.20,9,0.17,3.5,0.18,2.8,0.05,2,0.07,3,0.0,,2.6,-,,0.25,0.75,D,3,2,0.16,0.21,17:01,5,3,6,,4,2,5,,5.0,,,,2,-,2,1,0,0,5.0
下関,04R,3,5273.0,山下拓巳,兵庫,B1,4.07,1.44,0.09,5,0.19,10,0.15,8,0.15,2.7,0.15,4.0,0.0,0,0.06,3,0.04,2.0,3.0,B+,,0.6,0.267,D,2,3,0.27,0.02,17:01,1,,4,5,2,4,5,5,5.0,,,,3,0,-,1,1,0,5.0
下関,04R,4,5131.0,江藤敦宏,福岡,B1,3.89,2.57,0.05,2,0.05,2,0.21,9,0.17,3.6,0.17,4.2,0.02,1,0.02,1,0.0,0.0,3.0,A+,,0.0,0.667,C,3,3,0.14,0.14,17:01,5,,1,2,4,6,3,,2.0,5.0,,,1,0,0,-,0,1,2.0
