レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率,締切予定時刻,今節成績_1-1,今節成績_1-2,今節成績_2-1,今節成績_2-2,今節成績_3-1,今節成績_3-2,今節成績_4-1,今節成績_4-2,今節成績_5-1,今節成績_5-2,今節成績_6-1,今節成績_6-2,2着が1号艇,2着が2号艇,2着が3号艇,2着が4号艇,2着が5号艇,2着が6号艇,当該コース1着合計
芦屋,04R,1,4504.0,前田将太,福岡,A1,6.05,6.79,0.72,55,0.13,10,0.05,4,0.14,2.9,0.12,4.7,0.09,7,0.15,11,0.03,2.0,3.6,-,,0.25,0.269,B,4,4,0.33,0.13,12:07,3,,4,,5,2,,,,,,,-,18,15,10,7,4,54.0
芦屋,04R,2,4371.0,西山貴浩,福岡,A1,7.49,7.96,0.15,7,0.33,15,0.22,10,0.14,3.4,0.08,2.2,0.12,6,0.04,2,0.0,,3.3,C,,0.293,0.366,C,4,3,0.10,0.14,12:07,1,,5,4,4,1,,,,,,,4,-,2,1,0,1,8.0
芦屋,04R,3,4586.0,磯部誠,愛知,A1,7.19,5.93,0.16,8,0.25,13,0.20,10,0.13,2.6,0.09,2.0,0.0,0,0.04,2,0.12,6.0,4.2,B+,,0.314,0.314,B,4,4,0.35,0.06,12:07,1,,4,2,4,,,,,,,,4,1,-,2,1,0,8.0
芦屋,04R,4,4939.0,宮之原輝紀,東京,A1,6.76,7.88,0.29,12,0.24,10,0.12,5,0.14,2.6,0.13,2.5,0.13,5,0.11,4,0.03,1.0,3.0,C,,0.354,0.138,C,4,3,0.34,0.08,12:07,1,,6,5,5,,,,,,,,6,2,2,-,1,0,11.0
芦屋,04R,5,4524.0,深谷知博,静岡,A1,6.85,5.56,0.06,3,0.17,9,0.31,17,0.12,2.8,0.17,4.5,0.02,1,0.0,0,0.0,0.0,3.4,B+,隠F+F,0.3,0.25,C,4,2,0.28,0.07,12:07,,,,,,,,,,,,,2,0,0,0,-,0,2.0
芦屋,04R,6,4914.0,吉田裕平,愛知,A1,7.19,8.13,0.13,6,0.16,7,0.18,8,0.12,3.1,0.07,2.0,0.02,1,0.0,0,0.05,2.0,3.5,B+,,0.413,0.261,B,4,4,0.30,0.09,12:07,3,2,6,,F,,,,,,,,1,1,1,0,0,-,3.0
芦屋,05R,1,4980.0,佐々木完太,山口,A1,7.07,6.75,0.72,51,0.20,14,0.06,4,0.14,2.7,0.13,4.0,0.04,3,0.07,5,0.13,10.0,3.2,-,,0.25,0.173,C,4,2,0.37,0.08,12:38,6,,2,2,6,,,,,,,,-,14,13,16,8,4,55.0
芦屋,05R,2,4831.0,羽野直也,福岡,A1,7.22,6.86,0.17,6,0.33,12,0.14,5,0.15,3.9,0.11,3.0,0.14,5,0.0,0,0.0,,3.4,A,,0.308,0.333,A,5,4,0.14,0.29,12:38,3,,1,1,2,,,,,,,,5,-,0,1,0,0,6.0
芦屋,05R,3,3779.0,原田幸哉,長崎,A1,6.35,6.56,0.27,15,0.13,7,0.18,10,0.11,2.3,0.1,2.2,0.03,2,0.14,9,0.06,4.0,3.0,C,未消化F,0.291,0.345,C,4,3,0.44,0.08,12:38,2,5,1,,1,,,,,,,,5,5,-,5,0,4,19.0
芦屋,05R,4,4013.0,中島孝平,福井,A1,6.87,7.22,0.12,6,0.24,12,0.22,11,0.13,2.7,0.11,2.7,0.02,1,0.08,5,0.05,3.0,3.2,B+,隠F,0.208,0.509,A,5,4,0.36,0.07,12:38,4,2,1,,1,,,,,,,,2,2,1,-,3,1,9.0
