レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率
若松,09R,3,4239,竹田辰也,山口,A1,6.67,6.69,0.32,14,0.34,15,0.20,9,0.15,2.6,-,-,0.05,2,0.07,3,0.11,5,5,A,F,,,B,5,3,0.22,0.00
若松,09R,4,4677,片橋幸貴,滋賀,B2,6.61,6.71,0.23,10,0.11,5,0.25,11,0.14,2.6,-,-,0.02,1,0.07,3,0.10,4,4,B+,,,,C,4,2,0.36,0.06
若松,09R,5,4438,森作雄大,東京,A2,4.90,5.59,0.07,4,0.11,6,0.18,10,0.12,2.0,-,-,0.00,0,0.04,2,0.06,3,4,S,,,,B,4,4,0.51,0.05
若松,09R,6,5104,山田丈,福岡,A2,6.52,5.82,0.19,7,0.11,4,0.16,6,0.16,3.7,-,-,0.05,1,0.00,0,0.00,0,3,-,,,,D,2,3,0.20,0.25
若松,10R,1,4808,松尾拓,三重,A1,5.40,7.71,0.72,47,0.09,6,0.08,5,0.15,3.2,-,-,0.10,6,0.05,3,0.11,7,3,-,F,,,D,3,2,0.26,0.11
若松,10R,2,4596,葛原大陽,徳島,A1,5.73,4.86,0.33,18,0.35,19,0.15,8,0.15,3.2,-,-,0.18,10,0.09,5,0.00,,4,C,,,,B,4,4,0.18,0.07
若松,10R,3,3054,北川幸典,広島,B1,4.93,7.18,0.26,10,0.21,8,0.13,5,0.16,2.5,-,-,0.00,0,0.20,7,0.03,1,3,-,F,,,C,4,3,0.38,0.10
若松,10R,4,4654,篠田優也,兵庫,A2,6.03,6.89,0.09,4,0.22,10,0.22,10,0.16,2.7,-,-,0.00,0,0.02,1,0.04,2,5,A,,,,C,4,3,0.28,0.03
若松,10R,5,5006,久保原秀人,群馬,B1,3.57,5.17,0.10,4,0.03,1,0.10,4,0.17,3.1,-,-,0.00,0,0.07,3,0.05,2,2,-,,,,C,3,3,0.25,0.03
若松,10R,6,4505,島田賢人,埼玉,A2,6.31,7.71,0.02,1,0.14,6,0.32,14,0.18,4.0,-,-,0.00,0,0.00,0,0.00,0,3,C,F,,,D,3,2,0.09,0.25
若松,11R,1,5028,原田才一郎,福岡,A1,6.29,6.91,0.81,62,0.09,7,0.05,4,0.14,2.5,-,-,0.03,2,0.04,3,0.09,7,4,-,F,,,C,4,3,0.39,0.05
若松,11R,2,5234,塚越海斗,群馬,A2,6.73,4.54,0.31,16,0.24,12,0.16,8,0.17,3.6,-,-,0.20,10,0.06,3,0.00,,4,C,,,,B,4,4,0.16,0.18
若松,11R,3,4229,市川美宏,静岡,B1,3.64,3.69,0.00,0,0.11,5,0.28,13,0.19,3.9,-,-,0.00,0,0.02,1,0.00,0,3,A+,,,,C,3,3,0.08,0.16
若松,11R,4,4000,松本博昭,広島,A2,6.20,6.42,0.03,2,0.13,8,0.27,16,0.17,3.6,-,-,0.00,0,0.02,1,0.02,1,4,C,,,,C,3,3,0.09,0.13
若松,11R,5,4531,武富智亮,佐賀,A2,5.94,6.26,0.05,2,0.25,11,0.27,12,0.15,3.5,-,-,0.00,0,0.04,2,0.00,0,2,C,,,,A,4,5,0.10,0.10
若松,11R,6,3998,冨成謙児,佐賀,B1,4.35,4.73,0.00,0,0.00,0,0.11,4,0.22,5.2,-,-,0.00,0,0.00,0,0.00,0,4,C,,,,C,3,4,0.00,0.61
若松,12R,1,4017,向井美鈴,山口,A2,5.31,5.28,0.68,39,0.16,9,0.07,4,0.17,2.6,-,-,0.14,8,0.12,7,0.04,2,4,-,,,,C,3,3,0.32,0.11
若松,12R,2,4098,赤澤文香,岡山,B1,4.70,4.07,0.07,2,0.27,8,0.20,6,0.20,4.6,-,-,0.00,0,0.06,2,0.00,,3,-,,,,C,3,3,0.04,0.33
若松,12R,3,3645,淺田千亜希,徳島,B2,5.26,7.89,0.22,5,0.30,7,0.09,2,0.15,2.7,-,-,0.00,0,0.05,1,0.14,3,3,B+,,,,C,4,2,0.33,0.11
若松,12R,4,5310,土屋蘭,岡山,B1,4.23,2.67,0.00,0,0.03,1,0.17,6,0.18,4.5,-,-,0.00,0,0.00,0,0.03,1,5,-,,,,C,3,3,0.08,0.29
若松,12R,5,5287,滝沢織寧,埼玉,B1,3.41,5.20,0.05,2,0.02,1,0.22,9,0.17,3.3,-,-,0.00,0,0.00,0,0.02,1,5,A,F,,,B,4,4,0.19,0.14
若松,12R,6,5389,恵良琴美,福岡,B2,2.40,0.00,0.00,0,0.01,2,0.02,3,0.18,3.5,-,-,0.00,0,0.00,0,0.00,0,5,C,F,,,C,3,3,0.23,0.19
宮島,01R,1,4522,古澤光紀,福岡,A1,5.72,7.28,0.82,50,0.05,3,0.07,4,0.14,2.4,0.12,2.5,0.07,4,0.08,5,0.02,1,3.6,C,,0.39,0.28,#N/A!,#N/A!,#N/A!,0.45,0.09
宮島,01R,2,5109,川崎智稔,岡山,B1,4.90,5.32,0.07,4,0.25,15,0.25,15,0.15,2.8,0.09,3.8,0.05,3,0.02,1,0.00,,4,A+,,,,#N/A!,#N/A!,#N/A!,0.25,0.14
宮島,01R,3,4978,山田和佐,広島,B1,4.85,4.58,0.07,4,0.19,10,0.22,12,0.17,3.4,0.15,2.6,0.00,0,0.04,2,0.00,0,3.6,C,,,,#N/A!,#N/A!,#N/A!,0.02,0.05
宮島,01R,4,4161,黒柳浩孝,愛知,A2,5.36,6.10,0.10,4,0.22,9,0.15,6,0.17,3.0,0.16,3.3,0.00,0,0.08,3,0.08,3,4,A,,,,#N/A!,#N/A!,#N/A!,0.29,0.18
宮島,01R,5,4765,野田部宏子,福岡,B1,5.20,6.21,0.14,6,0.14,6,0.19,8,0.11,2.0,0.18,4.2,0.00,0,0.13,6,0.00,0,2.2,-,F,,,#N/A!,#N/A!,#N/A!,0.53,0.03
宮島,01R,6,4478,櫻本あゆみ,群馬,A2,6.48,5.67,0.02,1,0.09,4,0.18,8,0.20,4.2,0.16,3.3,0.00,0,0.00,0,0.00,0,2.8,C,,,,#N/A!,#N/A!,#N/A!,0.09,0.32
宮島,02R,1,4208,三浦永理,静岡,A1,6.44,6.50,0.63,43,0.18,12,0.09,6,0.16,3.5,0.15,2.1,0.08,5,0.12,8,0.15,10,3.6,C,,,,#N/A!,#N/A!,#N/A!,0.14,0.16
宮島,02R,2,4345,西舘健,東京,A2,5.77,5.70,0.17,9,0.23,12,0.27,14,0.16,3.2,0.13,3.0,0.07,3,0.05,2,0.00,,3.6,B+,,,,#N/A!,#N/A!,#N/A!,0.17,0.11
宮島,02R,3,3339,泉具巳,兵庫,B1,4.45,4.70,0.10,4,0.24,10,0.10,4,0.17,3.2,0.23,4.8,0.05,2,0.05,2,0.00,0,2.8,A,,,,#N/A!,#N/A!,#N/A!,0.16,0.07
宮島,02R,4,3848,川上聡介,愛知,A2,4.63,5.66,0.08,5,0.20,12,0.17,10,0.15,3.0,0.14,3.8,0.00,0,0.06,3,0.00,0,3,C,,,,#N/A!,#N/A!,#N/A!,0.21,0.05
宮島,02R,5,4924,中北涼,長崎,B1,4.35,4.81,0.00,0,0.10,4,0.28,11,0.19,3.6,0.18,2.5,0.00,0,0.00,0,0.00,0,2.6,C,,,,#N/A!,#N/A!,#N/A!,0.18,0.06
宮島,02R,6,4555,富永大一,福岡,A2,5.13,6.05,0.00,0,0.10,4,0.23,9,0.20,4.4,0.21,4.0,0.00,0,0.00,0,0.00,0,3.2,S,,,,#N/A!,#N/A!,#N/A!,0.10,0.39
宮島,03R,1,5075,中島秀治,滋賀,A2,6.18,6.93,0.51,35,0.19,13,0.15,10,0.17,3.4,0.17,4.5,0.13,9,0.13,9,0.19,13,3,-,,,,#N/A!,#N/A!,#N/A!,0.20,0.15
宮島,03R,2,4200,早川尚人,大阪,B1,4.47,3.00,0.14,6,0.14,6,0.23,10,0.19,3.5,0.24,3.4,0.02,1,0.05,2,0.00,,3.2,B+,,,,#N/A!,#N/A!,#N/A!,0.03,0.14
宮島,03R,3,5066,鈴木孝明,埼玉,A2,6.24,7.25,0.15,7,0.20,9,0.28,13,0.18,3.5,0.11,2.8,0.00,0,0.08,4,0.06,3,5,S,,,,#N/A!,#N/A!,#N/A!,0.03,0.11
宮島,03R,4,4761,山田晃大,滋賀,A2,5.68,6.03,0.09,5,0.15,8,0.30,16,0.15,2.7,0.12,2.8,0.04,2,0.02,1,0.04,2,3.2,A,,,,#N/A!,#N/A!,#N/A!,0.31,0.07
宮島,03R,5,3175,渡辺千草,東京,B1,4.74,4.89,0.03,1,0.11,4,0.18,7,0.16,2.9,0.15,3.4,0.00,0,0.00,0,0.03,1,3.2,S,,,,#N/A!,#N/A!,#N/A!,0.24,0.04
宮島,03R,6,4934,佐々木翔斗,大阪,A2,5.64,5.19,0.00,0,0.04,2,0.11,6,0.17,4.3,0.14,3.1,0.00,0,0.00,0,0.00,0,2.6,C,,,,#N/A!,#N/A!,#N/A!,0.08,0.33
宮島,04R,1,4369,丹下将,愛知,A2,5.81,6.43,0.58,38,0.23,15,0.08,5,0.16,3.4,0.13,3.0,0.14,9,0.10,6,0.13,8,2.6,C,,,,#N/A!,#N/A!,#N/A!,0.18,0.12
宮島,04R,2,5085,中村栄治,福井,B1,5.72,5.40,0.06,3,0.17,8,0.31,15,0.19,3.8,0.21,4.8,0.06,3,0.00,0,0.00,,2.6,C,F,,,#N/A!,#N/A!,#N/A!,0.07,0.20
宮島,04R,3,3990,芹澤克彦,静岡,B1,4.54,4.74,0.06,3,0.28,14,0.24,12,0.12,2.8,0.12,1.8,0.00,0,0.02,1,0.05,2,3,B+,,,,#N/A!,#N/A!,#N/A!,0.11,0.03
宮島,04R,4,3473,石川真二,福岡,A1,6.26,6.30,0.21,9,0.35,15,0.19,8,0.24,3.3,0.12,2.0,0.00,0,0.00,0,0.00,0,3.4,C,F,,,#N/A!,#N/A!,#N/A!,0.33,0.33
宮島,04R,5,5213,湯淺紀香,群馬,A2,5.10,4.33,0.02,1,0.06,3,0.10,5,0.20,3.9,0.17,5.0,0.02,1,0.00,0,0.04,2,3.8,B+,F,,,#N/A!,#N/A!,#N/A!,0.06,0.12
宮島,04R,6,5209,小野京平,福岡,B2,3.46,2.19,0.00,0,0.00,0,0.06,2,0.24,5.4,0.18,4.2,0.00,0,0.00,0,0.00,0,4.8,A+,未消化F,,,#N/A!,#N/A!,#N/A!,0.00,0.62
宮島,05R,1,4278,藤岡俊介,兵庫,A1,6.76,7.43,0.74,56,0.11,8,0.03,2,0.11,1.8,0.13,3.4,0.09,7,0.08,6,0.07,5,2.4,-,,,,#N/A!,#N/A!,#N/A!,0.66,0.02
宮島,05R,2,4408,仁科さやか,長崎,B1,3.50,3.11,0.04,1,0.18,5,0.18,5,0.14,3.1,0.23,4.8,0.04,1,0.00,0,0.00,,3.6,B+,F,,,#N/A!,#N/A!,#N/A!,0.14,0.14
宮島,05R,3,4877,鈴谷一平,兵庫,A1,6.59,6.94,0.30,13,0.33,14,0.21,9,0.13,2.4,0.15,2.5,0.03,1,0.13,5,0.18,7,3,A,F,,,#N/A!,#N/A!,#N/A!,0.41,0.03
宮島,05R,4,4478,櫻本あゆみ,群馬,A2,6.48,5.67,0.16,7,0.23,10,0.18,8,0.14,2.8,0.16,3.3,0.00,0,0.02,1,0.11,5,2.8,C,,,,#N/A!,#N/A!,#N/A!,0.28,0.06
宮島,05R,5,3070,山室展弘,岡山,B1,5.68,0.00,0.09,2,0.14,3,0.18,4,0.14,2.3,0.17,3.4,0.00,0,0.00,0,0.00,0,4,A,,,,#N/A!,#N/A!,#N/A!,0.67,0.00
宮島,05R,6,4488,小山勉,埼玉,A1,6.61,5.59,0.00,0,0.20,11,0.13,7,0.20,4.9,0.20,3.1,0.00,0,0.00,0,0.00,0,2.8,-,,,,#N/A!,#N/A!,#N/A!,0.00,0.44
宮島,06R,1,4978,山田和佐,広島,B1,4.85,4.58,0.40,14,0.20,7,0.06,2,0.16,3.2,0.15,2.6,0.21,7,0.12,4,0.24,8,3.6,C,,,,#N/A!,#N/A!,#N/A!,0.33,0.25
宮島,06R,2,3339,泉具巳,兵庫,B1,4.45,4.70,0.02,1,0.26,12,0.22,10,0.17,3.4,0.23,4.8,0.02,1,0.00,0,0.00,,2.8,A,,,,#N/A!,#N/A!,#N/A!,0.16,0.16
宮島,06R,3,5109,川崎智稔,岡山,B1,4.90,5.32,0.12,7,0.19,11,0.25,14,0.14,2.8,0.09,3.8,0.00,0,0.07,4,0.04,2,4,A+,,,,#N/A!,#N/A!,#N/A!,0.21,0.02
宮島,06R,4,4924,中北涼,長崎,B1,4.35,4.81,0.00,0,0.05,2,0.17,7,0.19,3.3,0.18,2.5,0.00,0,0.00,0,0.00,0,2.6,C,,,,#N/A!,#N/A!,#N/A!,0.16,0.09
宮島,06R,5,3989,熊本英一,佐賀,B1,3.93,4.86,0.03,1,0.14,5,0.03,1,0.23,4.7,0.25,4.8,0.00,0,0.00,0,0.03,1,2.2,-,,,,#N/A!,#N/A!,#N/A!,0.00,0.30
宮島,06R,6,4683,向井田直弥,広島,B2,4.88,5.47,0.17,5,0.03,1,0.10,3,0.12,3.0,0.17,3.5,0.00,0,0.09,4,0.02,1,4.2,-,未消化F,,,#N/A!,#N/A!,#N/A!,0.44,0.16
宮島,07R,1,3584,佐々木英樹,広島,B1,4.98,4.82,0.20,8,0.33,13,0.05,2,0.17,3.7,0.17,3.1,0.23,9,0.13,5,0.33,13,3.4,A+,,,,#N/A!,#N/A!,#N/A!,0.23,0.29
宮島,07R,2,3175,渡辺千草,東京,B1,4.74,4.89,0.13,6,0.28,13,0.30,14,0.16,3.1,0.15,3.4,0.07,3,0.05,2,0.00,,3.2,S,,,,#N/A!,#N/A!,#N/A!,0.21,0.06
宮島,07R,3,4200,早川尚人,大阪,B1,4.47,3.00,0.04,2,0.10,5,0.20,10,0.17,2.9,0.24,3.4,0.00,0,0.04,2,0.02,1,3.2,B+,,,,#N/A!,#N/A!,#N/A!,0.22,0.07
宮島,07R,4,4345,西舘健,東京,A2,5.77,5.70,0.08,4,0.24,12,0.12,6,0.16,3.1,0.13,3.0,0.04,2,0.00,0,0.02,1,3.6,B+,,,,#N/A!,#N/A!,#N/A!,0.24,0.08
宮島,07R,5,4661,中島昂章,佐賀,B1,6.05,7.10,0.04,1,0.04,1,0.32,9,0.18,4.1,0.18,4.4,0.03,1,0.00,0,0.00,0,3.8,-,,,,#N/A!,#N/A!,#N/A!,0.06,0.06
宮島,07R,6,3477,近藤稔也,徳島,B1,4.08,3.96,0.00,0,0.06,2,0.14,5,0.21,4.6,0.22,4.0,0.00,0,0.00,0,0.00,0,2.4,-,未消化F,,,#N/A!,#N/A!,#N/A!,0.11,0.37
宮島,08R,1,4028,田村隆信,徳島,A1,6.58,6.74,0.81,51,0.10,6,0.03,2,0.13,2.5,0.11,3.7,0.03,2,0.06,4,0.06,4,2.6,C,,,,#N/A!,#N/A!,#N/A!,0.43,0.04
宮島,08R,2,5213,湯淺紀香,群馬,A2,5.10,4.33,0.12,6,0.36,18,0.10,5,0.18,3.9,0.17,5.0,0.06,3,0.04,2,0.00,,3.8,B+,F,,,#N/A!,#N/A!,#N/A!,0.00,0.19
宮島,08R,3,4765,野田部宏子,福岡,B1,5.20,6.21,0.19,9,0.19,9,0.21,10,0.14,2.6,0.18,4.2,0.00,0,0.16,7,0.00,0,2.2,-,F,,,#N/A!,#N/A!,#N/A!,0.35,0.09
宮島,08R,4,3685,荒井輝年,岡山,B1,5.27,5.09,0.07,3,0.17,8,0.26,12,0.16,3.4,0.09,2.0,0.00,0,0.04,2,0.07,3,4,B+,,,,#N/A!,#N/A!,#N/A!,0.19,0.19
宮島,08R,5,3848,川上聡介,愛知,A2,4.63,5.66,0.06,3,0.08,4,0.13,7,0.13,2.6,0.14,3.8,0.00,0,0.00,0,0.05,3,3,C,,,,#N/A!,#N/A!,#N/A!,0.31,0.04
宮島,08R,6,5091,為本智也,福井,B1,6.16,4.86,0.02,1,0.11,5,0.22,10,0.17,3.5,0.13,4.0,0.00,0,0.03,1,0.03,1,4.6,A,F,,,#N/A!,#N/A!,#N/A!,0.24,0.24
宮島,09R,1,4934,佐々木翔斗,大阪,A2,5.64,5.19,0.61,38,0.21,13,0.03,2,0.14,2.5,0.14,3.1,0.07,4,0.13,8,0.15,9,2.6,C,,,,#N/A!,#N/A!,#N/A!,0.38,0.02
宮島,09R,2,3990,芹澤克彦,静岡,B1,4.54,4.74,0.15,8,0.25,13,0.11,6,0.14,2.8,0.12,1.8,0.08,4,0.04,2,0.00,,3,B+,,,,#N/A!,#N/A!,#N/A!,0.19,0.05
宮島,09R,3,5057,上田紗奈,大阪,B1,5.22,4.14,0.12,5,0.33,14,0.21,9,0.17,2.5,0.12,2.8,0.00,0,0.05,2,0.02,1,5,A,,,,#N/A!,#N/A!,#N/A!,0.30,0.07
宮島,09R,4,4877,鈴谷一平,兵庫,A1,6.59,6.94,0.17,8,0.26,12,0.17,8,0.13,2.4,0.15,2.5,0.02,1,0.04,2,0.11,5,3,A,F,,,#N/A!,#N/A!,#N/A!,0.41,0.05
宮島,09R,5,5085,中村栄治,福井,B1,5.72,5.40,0.04,2,0.19,10,0.17,9,0.19,3.7,0.21,4.8,0.02,1,0.00,0,0.00,0,2.6,C,F,,,#N/A!,#N/A!,#N/A!,0.09,0.15
宮島,09R,6,5075,中島秀治,滋賀,A2,6.18,6.93,0.04,2,0.09,4,0.22,10,0.17,3.7,0.17,4.5,0.00,0,0.02,1,0.02,1,3,-,,,,#N/A!,#N/A!,#N/A!,0.19,0.19
宮島,10R,1,4555,富永大一,福岡,A2,5.13,6.05,0.47,22,0.17,8,0.11,5,0.16,3.4,0.21,4.0,0.02,1,0.18,8,0.27,12,3.2,S,,0.48,0.21,#N/A!,#N/A!,#N/A!,0.18,0.18
宮島,10R,2,4278,藤岡俊介,兵庫,A1,6.76,7.43,0.27,17,0.27,17,0.27,17,0.13,2.8,0.13,3.4,0.23,14,0.02,1,0.00,,2.4,-,,,,#N/A!,#N/A!,#N/A!,0.27,0.08
宮島,10R,3,3070,山室展弘,岡山,B1,5.68,0.00,0.04,1,0.18,5,0.14,4,0.16,3.8,0.17,3.4,0.00,0,0.00,0,0.03,1,4,A,,,,#N/A!,#N/A!,#N/A!,0.09,0.18
宮島,10R,4,4522,古澤光紀,福岡,A1,5.72,7.28,0.05,2,0.14,6,0.28,12,0.14,3.0,0.12,2.5,0.00,0,0.05,2,0.00,0,3.6,C,,,,#N/A!,#N/A!,#N/A!,0.22,0.00
宮島,10R,5,4208,三浦永理,静岡,A1,6.44,6.50,0.14,6,0.16,7,0.36,16,0.15,3.2,0.15,2.1,0.00,0,0.04,2,0.11,5,3.6,C,,,,#N/A!,#N/A!,#N/A!,0.22,0.06
宮島,10R,6,4369,丹下将,愛知,A2,5.81,6.43,0.06,3,0.07,4,0.20,11,0.18,4.2,0.13,3.0,0.00,0,0.00,0,0.00,0,2.6,C,,,,#N/A!,#N/A!,#N/A!,0.13,0.36
宮島,11R,1,4488,小山勉,埼玉,A1,6.61,5.59,0.68,41,0.18,11,0.08,5,0.16,2.9,0.20,3.1,0.07,4,0.13,8,0.07,4,2.8,-,,0.37,0.32,#N/A!,#N/A!,#N/A!,0.38,0.06
宮島,11R,2,4028,田村隆信,徳島,A1,6.58,6.74,0.21,12,0.27,15,0.16,9,0.14,3.2,0.11,3.7,0.15,9,0.03,2,0.00,,2.6,C,,,,#N/A!,#N/A!,#N/A!,0.12,0.09
宮島,11R,3,4161,黒柳浩孝,愛知,A2,5.36,6.10,0.18,9,0.10,5,0.30,15,0.16,2.7,0.16,3.3,0.02,1,0.12,6,0.02,1,4,A,,,,#N/A!,#N/A!,#N/A!,0.37,0.11
宮島,11R,4,5066,鈴木孝明,埼玉,A2,6.24,7.25,0.10,5,0.14,7,0.24,12,0.16,3.3,0.11,2.8,0.00,0,0.07,3,0.00,0,5,S,,,,#N/A!,#N/A!,#N/A!,0.13,0.09
宮島,11R,5,3584,佐々木英樹,広島,B1,4.98,4.82,0.08,4,0.12,6,0.16,8,0.17,3.7,0.17,3.1,0.00,0,0.02,1,0.04,2,3.4,A+,,,,#N/A!,#N/A!,#N/A!,0.15,0.10
宮島,11R,6,4761,山田晃大,滋賀,A2,5.68,6.03,0.02,1,0.06,3,0.22,11,0.16,3.0,0.12,2.8,0.00,0,0.00,0,0.00,0,3.2,A,,,,#N/A!,#N/A!,#N/A!,0.26,0.11
宮島,12R,1,4083,福島勇樹,東京,A1,7.45,5.78,0.73,36,0.14,7,0.00,0,0.11,2.1,0.14,2.4,0.06,3,0.04,2,0.10,5,3.6,B+,,0.41,0.19,#N/A!,#N/A!,#N/A!,0.67,0.08
宮島,12R,2,3439,大平誉史明,大阪,A2,6.22,5.72,0.16,9,0.20,11,0.20,11,0.16,3.3,0.12,3.5,0.14,7,0.00,0,0.00,,3.6,B+,,,,#N/A!,#N/A!,#N/A!,0.02,0.07
宮島,12R,3,4308,河村了,愛知,A1,6.93,6.18,0.17,8,0.28,13,0.28,13,0.15,3.2,0.15,3.1,0.00,0,0.02,1,0.18,8,3,-,,,,#N/A!,#N/A!,#N/A!,0.21,0.09
宮島,12R,4,4816,村松修二,広島,A2,5.40,6.22,0.21,7,0.18,6,0.18,6,0.15,2.5,0.15,2.6,0.03,1,0.08,3,0.05,2,2.8,A,F,,,#N/A!,#N/A!,#N/A!,0.42,0.12
宮島,12R,5,4793,金子萌,静岡,A2,6.24,6.24,0.07,4,0.22,12,0.16,9,0.14,2.7,0.10,1.8,0.00,0,0.00,0,0.07,4,3.8,B+,,,,#N/A!,#N/A!,#N/A!,0.40,0.04
宮島,12R,6,4709,岡村将也,福岡,A2,5.70,5.94,0.00,0,0.02,1,0.31,15,0.19,4.1,0.14,2.6,0.00,0,0.00,0,0.00,0,3,C,,,,#N/A!,#N/A!,#N/A!,0.08,0.21
児島,01R,1,3901,松田憲幸,山口,B1,3.69,4.30,0.52,11,0.14,3,0.05,1,0.20,4.1,0.23,4.6,0.15,3,0.20,4,0.10,2,2.6,B+,,,,D,2,2,0.06,0.33
児島,01R,2,4202,浮田圭浩,岡山,B1,4.46,4.62,0.12,6,0.21,11,0.21,11,0.16,3.7,0.18,2.6,0.08,4,0.02,1,0.00,,3.2,A+,未消化F,,,B,4,4,0.12,0.10
児島,01R,3,3539,金子順一,山口,B1,3.63,4.85,0.09,5,0.17,9,0.15,8,0.18,3.7,0.18,2.6,0.02,1,0.04,2,0.00,0,2.8,B+,,,,C,4,2,0.05,0.15
児島,01R,4,3411,池上隆行,広島,B1,3.81,2.96,0.04,2,0.02,1,0.09,4,0.16,3.1,0.15,4.0,0.04,2,0.00,0,0.02,1,2.6,C,,,,D,3,2,0.16,0.05
児島,01R,5,5157,市川健太,滋賀,B1,4.63,4.89,0.16,7,0.02,1,0.13,6,0.16,2.7,0.21,4.3,0.00,0,0.04,2,0.13,6,3.2,C,F,,,C,3,3,0.29,0.03
児島,01R,6,4550,石岡将太,群馬,B1,5.49,0.00,0.00,0,0.11,4,0.19,7,0.15,3.2,0.15,3.3,0.00,0,0.00,0,0.00,0,2.8,B+,,,,C,3,4,0.19,0.15
児島,02R,1,3933,山地正樹,岡山,B1,4.88,5.67,0.36,16,0.30,13,0.07,3,0.17,3.7,0.13,3.0,0.24,11,0.20,9,0.16,7,3,B+,,,,C,4,2,0.11,0.16
児島,02R,2,5039,倉田茂将,愛知,A2,4.70,4.75,0.14,6,0.23,10,0.09,4,0.17,3.4,0.13,3.0,0.10,5,0.02,1,0.00,,2.8,-,F,,,D,3,2,0.21,0.18
児島,02R,3,4210,松村康太,福井,A2,5.83,5.00,0.07,3,0.24,11,0.22,10,0.16,3.2,0.18,3.5,0.00,0,0.02,1,0.02,1,3,C,,,,C,3,3,0.12,0.06
児島,02R,4,5148,松本怜,福岡,B1,5.62,3.67,0.09,3,0.31,10,0.09,3,0.20,3.9,0.14,4.0,0.03,1,0.03,1,0.00,0,2.8,A,,,,A,5,4,0.09,0.09
児島,02R,5,3482,金子猛志,群馬,A2,4.84,4.45,0.06,3,0.11,6,0.25,13,0.14,2.8,0.14,3.5,0.00,0,0.06,3,0.04,2,2.6,-,,,,C,3,3,0.24,0.00
児島,02R,6,3233,小畑実成,岡山,B1,4.71,4.72,0.00,0,0.07,3,0.14,6,0.18,3.2,0.15,2.6,0.00,0,0.00,0,0.00,0,3.6,B+,,,,#N/A!,#N/A!,#N/A!,0.38,0.19
児島,03R,1,4213,重富伸也,長崎,B1,4.35,4.12,0.39,12,0.26,8,0.03,1,0.14,3.3,0.18,5.6,0.19,5,0.12,3,0.23,6,3.2,A+,未消化F,,,B,4,4,0.23,0.14
児島,03R,2,5026,安河内健,佐賀,A1,6.19,7.05,0.20,11,0.18,10,0.29,16,0.15,3.3,0.17,4.0,0.15,8,0.02,1,0.00,,3,C,F,,,A,6,4,0.14,0.16
児島,03R,3,3629,浅見昌克,埼玉,A2,6.38,5.97,0.13,7,0.16,9,0.29,16,0.14,2.3,0.14,2.7,0.05,3,0.03,2,0.03,2,3.2,C,,,,C,3,3,0.38,0.04
児島,03R,4,4958,溝口海義也,福岡,A2,6.40,6.43,0.15,9,0.21,13,0.27,17,0.13,2.5,0.16,1.6,0.03,2,0.05,3,0.03,2,3.8,B+,,,,B,4,4,0.40,0.06
児島,03R,5,5249,三木晴斗,徳島,B1,5.32,3.24,0.06,3,0.06,3,0.19,9,0.15,3.0,0.13,3.0,0.00,0,0.00,0,0.02,1,3.8,A+,,,,C,3,3,0.23,0.10
児島,03R,6,3265,今村暢孝,福岡,A1,5.91,6.19,0.23,10,0.11,5,0.20,9,0.00,0.0,0.17,1.0,0.00,0,0.00,0,0.00,0,2.6,C,F,,,C,3,3,0.00,0.00
児島,04R,1,4276,鈴木勝博,愛知,A2,5.55,6.21,0.71,47,0.11,7,0.02,1,0.17,3.2,0.09,2.0,0.09,6,0.11,7,0.06,4,3.2,B+,,,,C,3,4,0.26,0.20
児島,04R,2,4259,真庭明志,長崎,A2,5.59,5.57,0.13,8,0.37,22,0.10,6,0.15,3.2,0.19,5.3,0.08,5,0.02,1,0.00,,2.8,-,,,,B,4,4,0.11,0.02
児島,04R,3,4652,酒見峻介,佐賀,A2,4.68,5.14,0.10,6,0.24,14,0.29,17,0.15,2.9,0.17,2.0,0.00,0,0.05,3,0.00,0,2.8,B+,F,,,B,3,5,0.17,0.02
児島,04R,4,3876,中辻崇人,福岡,A1,7.36,8.24,0.34,13,0.21,8,0.11,4,0.15,2.4,0.16,4.6,0.00,0,0.26,10,0.08,3,3.2,A,未消化FF,,,A,4,5,0.38,0.03
児島,04R,5,5032,谷口知優,香川,B1,5.49,3.40,0.12,5,0.07,3,0.20,8,0.17,2.9,0.11,3.3,0.00,0,0.03,1,0.08,3,3.8,A,,,,C,3,3,0.34,0.06
児島,04R,6,5423,高橋嗣穏,徳島,B2,1.05,0.00,0.00,0,0.00,0,0.00,0,0.22,5.0,0.23,4.3,0.00,0,0.00,0,0.00,0,2.6,B+,F,,,D,2,2,0.00,0.57
児島,05R,1,4313,西村美智子,香川,B2,6.23,0.00,0.68,13,0.16,3,0.11,2,0.16,4.0,0.14,2.0,0.12,2,0.06,1,0.12,2,3.4,A,,,,B,4,4,0.17,0.17
児島,05R,2,4963,實森美祐,広島,A1,6.62,7.85,0.33,17,0.29,15,0.10,5,0.14,2.7,0.15,2.5,0.24,13,0.07,4,0.00,,3.8,A,,,,B,4,4,0.31,0.12
