レース場,レース回,枠番,登録番号,選手名,支部,級別,全国勝率,当地勝率,1着率,1着数,2着率,2着数,3着率,3着数,コース平均st,コース平均st順位,今節平均st,今節平均st順位,差し率,差し数,まくり率,まくり数,まくり差し率,まくり差し数,M指数,activepoint,FL,1-2率,1-3率,M総合評価,出足,伸び足,コースstトップ率,コースst最下位率
福岡,05R,5,4471,新田泰章,広島,A1,7.07,5.89,0.06,3,0.09,4,0.26,12,0.17,3.6,0.14,3.5,0.00,0,0.02,1,0.04,2,2,B+,,,,C,3,3,0.19,0.05
福岡,05R,6,4445,宮地元輝,佐賀,A1,6.94,7.91,0.02,1,0.06,3,0.12,6,0.11,2.5,0.08,1.7,0.00,0,0.00,0,0.00,0,4,-,未消化F,,,B,4,4,0.53,0.13
福岡,06R,1,5051,松本純平,埼玉,A1,6.51,7.26,0.83,48,0.07,4,0.05,3,0.14,3.0,0.13,3.7,0.07,4,0.05,3,0.07,4,2,B+,,,,C,4,3,0.30,0.06
福岡,06R,2,4831,羽野直也,福岡,A1,6.98,7.05,0.16,5,0.34,11,0.16,5,0.14,3.8,0.16,4.2,0.17,5,0.00,0,0.00,,3,A+,F,,,C,4,2,0.21,0.25
福岡,06R,3,4798,浜先真範,広島,A1,6.48,6.29,0.23,12,0.17,9,0.28,15,0.14,2.6,0.14,3.0,0.02,1,0.07,4,0.11,6,3,C,,,,C,3,3,0.26,0.07
福岡,06R,4,3960,菊地孝平,静岡,A1,6.74,6.17,0.16,8,0.31,16,0.18,9,0.11,2.2,0.11,3.4,0.05,3,0.05,3,0.05,3,4,-,,,,D,3,2,0.43,0.02
福岡,06R,5,4361,柳生泰二,山口,A1,7.29,6.46,0.14,5,0.28,10,0.19,7,0.14,2.9,0.16,4.5,0.00,0,0.02,1,0.07,3,2,C,,,,D,3,2,0.27,0.09
福岡,06R,6,5018,竹下大樹,福岡,A1,6.24,5.97,0.04,2,0.11,6,0.25,14,0.21,4.5,0.12,3.7,0.02,1,0.00,0,0.02,1,4,B+,,,,C,4,3,0.05,0.27
福岡,07R,1,4500,山田康二,佐賀,A1,7.16,7.54,0.79,57,0.11,8,0.06,4,0.13,2.8,0.15,3.4,0.09,7,0.07,5,0.07,5,4,B+,,,,C,4,2,0.40,0.18
福岡,07R,2,4456,鎌倉涼,大阪,A1,6.96,5.09,0.23,9,0.35,14,0.20,8,0.17,3.5,0.15,4.5,0.18,7,0.03,1,0.00,,2,-,,,,D,3,2,0.00,0.03
福岡,07R,3,4324,海野康志郎,山口,A1,7.45,6.60,0.25,15,0.22,13,0.20,12,0.14,3.0,0.13,3.2,0.00,0,0.03,2,0.18,12,3,-,,,,C,4,2,0.21,0.09
福岡,07R,4,4459,片岡雅裕,香川,A1,6.28,6.28,0.10,6,0.32,19,0.18,11,0.10,2.1,0.16,3.0,0.03,2,0.03,2,0.06,4,2,-,,,,D,2,2,0.40,0.00
福岡,07R,5,4590,渡邉優美,福岡,A1,6.23,6.63,0.10,5,0.22,11,0.16,8,0.15,3.2,0.12,2.2,0.00,0,0.07,3,0.04,2,4,B+,,,,B,4,4,0.20,0.03
福岡,07R,6,4397,西村拓也,大阪,A1,6.64,7.15,0.08,4,0.19,10,0.13,7,0.14,4.1,0.15,4.5,0.03,1,0.00,0,0.00,0,3,A,,,,B,3,5,0.03,0.26
福岡,08R,1,3783,瓜生正義,福岡,A1,6.48,6.91,0.52,31,0.25,15,0.08,5,0.16,4.0,0.15,3.8,0.12,7,0.19,11,0.08,5,3,B+,,,,C,3,3,0.07,0.28
福岡,08R,2,4586,磯部誠,愛知,A1,7.08,7.27,0.12,6,0.43,21,0.00,0,0.13,3.0,0.09,2.0,0.11,5,0.02,1,0.00,,3,B+,,,,C,3,4,0.22,0.08
福岡,08R,3,4908,上田龍星,大阪,A1,6.82,6.45,0.24,12,0.31,15,0.16,8,0.14,2.6,0.14,3.2,0.02,1,0.04,2,0.15,8,3,-,F,,,C,4,3,0.29,0.07
福岡,08R,4,5058,前原大道,岡山,A1,7.39,6.50,0.11,6,0.25,14,0.33,18,0.14,2.8,0.19,3.2,0.02,1,0.04,2,0.06,3,4,A,F,,,C,3,4,0.25,0.10
福岡,08R,5,4566,塩田北斗,福岡,A1,6.32,6.42,0.09,4,0.17,8,0.21,10,0.14,3.4,0.14,2.2,0.02,1,0.02,1,0.02,1,1,-,,,,D,2,3,0.18,0.11
福岡,08R,6,3388,今垣光太郎,福井,A1,7.26,7.44,0.10,4,0.17,7,0.20,8,0.20,5.1,0.16,3.5,0.00,0,0.04,1,0.00,0,3,C,,,,B,4,4,0.05,0.58
福岡,09R,1,4418,茅原悠紀,岡山,A1,8.27,8.67,0.81,70,0.06,5,0.06,5,0.12,2.3,0.11,2.5,0.01,1,0.09,8,0.06,5,4,A,未消化F,,,B,3,5,0.53,0.09
福岡,09R,2,4471,新田泰章,広島,A1,7.07,5.89,0.27,15,0.27,15,0.24,13,0.15,3.5,0.14,3.5,0.15,8,0.08,4,0.00,,2,B+,,,,C,3,3,0.05,0.16
福岡,09R,3,4483,北野輝季,愛知,A1,7.02,6.16,0.40,19,0.27,13,0.06,3,0.13,2.6,0.14,3.2,0.06,3,0.19,9,0.06,3,3,-,,,,D,2,3,0.24,0.00
福岡,09R,4,4932,新開航,福岡,A1,7.47,7.36,0.12,6,0.29,15,0.25,13,0.15,3.6,0.17,4.0,0.02,1,0.09,4,0.02,1,3,A,,,,C,4,3,0.15,0.13
福岡,09R,5,4686,丸野一樹,滋賀,A1,6.61,7.04,0.10,4,0.17,7,0.24,10,0.17,3.4,0.13,1.8,0.05,2,0.00,0,0.05,2,2,B+,,,,D,3,2,0.23,0.10
福岡,09R,6,4428,有賀達也,埼玉,A1,6.36,5.52,0.00,0,0.17,9,0.22,12,0.14,3.1,0.17,3.5,0.00,0,0.00,0,0.02,1,2,-,未消化F,,,D,2,3,0.29,0.12
福岡,10R,1,4757,山田祐也,徳島,A1,6.98,7.03,0.76,54,0.11,8,0.06,4,0.13,2.8,0.14,3.7,0.10,7,0.10,7,0.04,3,4,A,,,,A,5,5,0.28,0.06
福岡,10R,2,4928,栗城匠,東京,A1,6.46,6.00,0.29,14,0.19,9,0.10,5,0.17,3.5,0.11,2.2,0.19,8,0.07,3,0.00,,5,S,,,,A,4,5,0.24,0.15
福岡,10R,3,4344,新田雄史,三重,A1,7.59,7.81,0.16,10,0.24,15,0.27,17,0.13,2.8,0.11,1.8,0.02,1,0.05,3,0.09,6,4,B+,,,,C,4,3,0.28,0.04
福岡,10R,4,4736,高倉和士,福岡,A1,6.61,6.58,0.20,10,0.34,17,0.12,6,0.13,2.0,0.15,3.7,0.06,3,0.08,4,0.08,4,4,B+,F,,,B,5,3,0.46,0.02
福岡,10R,5,4013,中島孝平,福井,A1,7.03,7.83,0.18,9,0.12,6,0.24,12,0.14,2.9,0.16,3.8,0.04,2,0.00,0,0.11,5,2,B+,,,,C,4,3,0.27,0.08
福岡,10R,6,4659,木下翔太,大阪,A1,6.72,6.89,0.02,1,0.13,7,0.30,16,0.14,3.6,0.10,2.0,0.00,0,0.00,0,0.02,1,2,B+,,,,C,4,3,0.18,0.15
福岡,11R,1,4848,仲谷颯仁,福岡,A1,6.81,7.38,0.66,44,0.19,13,0.09,6,0.14,3.0,0.16,3.0,0.13,8,0.14,9,0.08,5,4,A+,F,,,B,4,4,0.28,0.14
福岡,11R,2,4477,篠崎仁志,福岡,A1,7.18,8.01,0.11,5,0.32,15,0.26,12,0.13,3.2,0.12,2.6,0.04,2,0.04,2,0.00,,4,A,,,,B,4,4,0.14,0.08
福岡,11R,3,4472,尾嶋一広,兵庫,A1,6.26,6.50,0.09,5,0.26,15,0.26,15,0.16,3.3,0.13,2.2,0.02,1,0.03,2,0.03,2,3,S,,,,A,4,5,0.13,0.09
福岡,11R,4,5142,常住蓮,佐賀,A1,7.48,6.47,0.22,13,0.24,14,0.24,14,0.13,2.6,0.13,2.5,0.06,4,0.08,5,0.06,4,5,C,F,,,B,4,4,0.35,0.05
福岡,11R,5,4960,黒野元基,愛知,A1,7.70,6.55,0.18,7,0.25,10,0.20,8,0.13,2.9,0.10,2.2,0.03,1,0.08,3,0.08,3,4,B+,,,,A,4,5,0.23,0.03
福岡,11R,6,4095,福来剛,東京,A1,7.24,8.00,0.13,5,0.30,12,0.15,6,0.15,4.4,0.11,2.5,0.00,0,0.03,1,0.06,2,4,A+,,,,B,4,4,0.09,0.35
